n	MeshesToLoad	MeshesLoadedpercentage(Loaded/ToLoad)
8.19	120	68	0.566667
8.2	120	68	0.566667
8.21	120	68	0.566667
8.22	120	68	0.566667
8.23	120	68	0.566667
8.24	120	68	0.566667
8.25	120	68	0.566667
8.26	120	68	0.566667
8.27	120	68	0.566667
8.28	120	68	0.566667
8.29	120	68	0.566667
8.3	120	68	0.566667
8.31	120	68	0.566667
8.32	120	68	0.566667
8.33	120	68	0.566667
8.34	120	68	0.566667
8.35	120	68	0.566667
8.36	120	68	0.566667
8.37	120	68	0.566667
8.38	120	68	0.566667
8.39	120	68	0.566667
8.4	120	68	0.566667
8.41	120	68	0.566667
8.42	120	68	0.566667
8.43	144	68	0.472222
8.44	144	68	0.472222
8.45	144	68	0.472222
8.46	144	68	0.472222
8.47	144	68	0.472222
8.48	144	68	0.472222
8.49	144	68	0.472222
8.5	144	68	0.472222
8.51	144	68	0.472222
8.52	144	68	0.472222
8.53	144	68	0.472222
8.54	144	68	0.472222
8.55	144	68	0.472222
8.56	144	68	0.472222
8.57	144	68	0.472222
8.58	144	68	0.472222
8.59	144	68	0.472222
8.6	144	68	0.472222
8.61	144	68	0.472222
8.62	144	68	0.472222
8.63	144	68	0.472222
8.64	144	68	0.472222
8.65	144	68	0.472222
8.66	144	68	0.472222
8.67	144	68	0.472222
8.68	144	72	0.5
8.69	144	72	0.5
8.7	144	80	0.555556
8.71	144	80	0.555556
8.72	144	80	0.555556
8.73	144	80	0.555556
8.74	144	80	0.555556
8.75	144	80	0.555556
8.76	144	80	0.555556
8.77	144	80	0.555556
8.78	144	80	0.555556
8.79	144	80	0.555556
8.8	144	80	0.555556
8.81	144	80	0.555556
8.82	144	80	0.555556
8.83	144	80	0.555556
8.84	144	80	0.555556
8.85	144	80	0.555556
8.86	144	80	0.555556
8.87	144	80	0.555556
8.88	144	84	0.583333
8.89	144	84	0.583333
8.9	144	84	0.583333
8.91	144	84	0.583333
8.92	144	84	0.583333
8.93	144	84	0.583333
8.94	144	84	0.583333
8.95	144	84	0.583333
8.96	144	84	0.583333
8.97	144	84	0.583333
8.98	144	84	0.583333
8.99	144	84	0.583333
9	144	84	0.583333
9.01	144	84	0.583333
9.02	144	84	0.583333
9.03	144	84	0.583333
9.04	144	84	0.583333
9.05	144	84	0.583333
9.06	144	84	0.583333
9.07	144	84	0.583333
9.08	144	84	0.583333
9.09	144	84	0.583333
9.1	144	84	0.583333
9.11	144	84	0.583333
9.12	144	84	0.583333
9.13	144	84	0.583333
9.14	144	84	0.583333
9.15	144	84	0.583333
9.16	144	84	0.583333
9.17	144	84	0.583333
9.18	144	84	0.583333
9.19	144	84	0.583333
9.2	144	84	0.583333
9.21	144	84	0.583333
9.22	144	84	0.583333
9.23	144	84	0.583333
9.24	144	84	0.583333
9.25	144	84	0.583333
9.26	144	84	0.583333
9.27	144	84	0.583333
9.28	144	84	0.583333
9.29	144	84	0.583333
9.3	144	84	0.583333
9.31	144	84	0.583333
9.32	144	84	0.583333
9.33	144	84	0.583333
9.34	144	84	0.583333
9.35	144	84	0.583333
9.36	144	84	0.583333
9.37	144	84	0.583333
9.38	144	84	0.583333
9.39	144	84	0.583333
9.4	144	80	0.555556
9.41	144	72	0.5
9.42	144	72	0.5
9.43	144	72	0.5
9.44	144	68	0.472222
9.45	144	68	0.472222
9.46	144	64	0.444444
9.47	144	64	0.444444
9.48	144	64	0.444444
9.49	144	64	0.444444
9.5	144	64	0.444444
9.51	144	64	0.444444
9.52	144	64	0.444444
9.53	144	64	0.444444
9.54	144	64	0.444444
9.55	144	64	0.444444
9.56	144	64	0.444444
9.57	144	64	0.444444
9.58	144	64	0.444444
9.59	144	64	0.444444
9.6	144	64	0.444444
9.61	144	64	0.444444
9.62	144	76	0.527778
9.63	144	76	0.527778
9.64	144	76	0.527778
9.65	144	76	0.527778
9.66	144	76	0.527778
9.67	144	76	0.527778
9.68	144	76	0.527778
9.69	144	76	0.527778
9.7	144	76	0.527778
9.71	144	76	0.527778
